abacas,masc,
abach,masc,
abacht,fem,
abairt,fem,2
ábaltacht,fem,3
abarlach,fem,
abar,masc,1
abarthacht,fem,3
abdóman,masc,1
abhacád,masc,1
ábhach,masc,1
ábhacht,fem,3
abhac,masc,1
abhacréalta,fem,4
abhaill,fem,
ábhaillí,fem,4
abhainn,fem,5
ábhalchéim,fem,
ábhann,masc,
abhantrach,fem,2
ábharachas,masc,1
ábharaí,masc,
ábhar,masc,1
ábharthacht,fem,
abhatár,masc,4
abhcóideacht,fem,
abhcóide,masc,4
abhcóir,masc,
abhlann,fem,2
abhlóireacht,fem,
abhlóir,masc,3
abhógacht,fem,
abhógaí,masc,
abhóg,fem,2
abhóiséad,masc,
abhraiseach,fem,2
abhras,masc,1
ablach,masc,1
abláil,fem,3
ablálaí,masc,
ab,masc,3
abracht,fem,
absalóideachas,masc,
absalóideacht,fem,
absalóid,fem,
abstanaid,fem,
abúile,fem,
Acádach,masc,1
acadamhaí,masc,
acadamh,masc,1
acadóir,masc,3
acainít,fem,
acairíneach,masc,
acalaí,masc,4
acantas,masc,
acaoineadh,masc,
acarsóid,fem,2
acastóir,masc,3
achadh,masc,1
achainí,fem,4
achainíoch,masc,
achairt,fem,
achar,masc,1
achasánaí,masc,
achasán,masc,1
achoimre,fem,4
achoimriú,masc,
achomaireacht,fem,3
achomharc,masc,1
achomharcóir,masc,3
achrannaí,fem,
achrann,masc,1
achtachán,masc,1
achtáil,fem,
achtainiam,masc,
achtanasón,masc,
acht,masc,3
achtúire,masc,4
achtú,masc,
aclaíocht,fem,3
aclú,masc,
ac,masc,4
acmhainn,fem,2
acomhal,masc,1
acráiniach,masc,
acrainm,masc,4
acraíocht,fem,3
acra,masc,4
acrasóm,masc,
acsón,masc,
adac,masc,1
adainín,masc,
adamh,masc,1
adanóma,masc,4
adhainteoir,masc,
adhaint,fem,2
adhairt,fem,2
adhairtín,masc,4
adhall,masc,1
adhal,masc,
adhaltrach,masc,
adhaltranas,masc,1
Ádhamhchlann,fem,
Ádhamh,masc,
adhann,fem,
adhantaí,masc,4
adharcachán,masc,
adharcacht,fem,
adharcán,masc,1
adharc,fem,2
adhartán,masc,1
adhascaid,fem,2
adhastar,masc,1
adhbha,fem,
adhbh,fem,
adhfhuafaireacht,fem,
adhfhuaire,fem,
adhfhuath,masc,
adhlacadh,masc,
adhlacóir,masc,3
adhmad,masc,1
adhmadóireacht,fem,3
adhmadóir,masc,
adhmainteas,masc,1
adhmaint,fem,2
ádh,masc,1
adhmhaidin,fem,
adhmhilleadh,masc,
adhmholadh,masc,
adhmholtóir,masc,
adhnáire,fem,
adhnua,masc,4
adhradh,masc,
adhraitheoir,masc,3
admháil,fem,3
admhálaí,masc,
adóib,fem,2
aduaine,fem,
aduantas,masc,
aducht,masc,3
aeistéitic,fem,2
aelus,masc,3
ae,masc,4
aerachlár,masc,
aeracht,fem,3
aerachtúlacht,fem,
aeradán,masc,
aeradróm,masc,1
aeragraf,masc,
aeráid,fem,2
aeraidinimic,fem,2
aeráil,fem,
aeraíocht,fem,3
aerárachas,masc,
aerarm,masc,
aerárthach,masc,1
aerasól,masc,1
aeraspás,masc,1
aerastataic,fem,
aerbhac,masc,1
aerbhealach,masc,
aerbhonn,masc,
aerbhrat,masc,1
aerbhríce,masc,
aerbhunáit,fem,2
aerchaidéal,masc,
aerchill,fem,
aerchóiriúchán,masc,1
aerchóiriú,masc,
aerchomhla,fem,
aerchonair,fem,
aerchoscán,masc,
aerchriú,masc,4
aerchrochadh,masc,
aerchúisín,masc,
aerdhathadóir,masc,3
aerdhruilire,masc,
aereincíoma,masc,
aereiteog,fem,
aerfheadán,masc,1
aerfhórsa,masc,4
aerfhráma,masc,4
aerfort,masc,1
aerfótagrafaíocht,fem,
aerfótagraf,masc,
aerghunna,masc,
aerinneall,masc,
aeriompar,masc,
aerionad,masc,
aerlána,masc,
aerlasta,masc,4
aerlínéar,masc,
aerlíne,fem,4
aerlitir,fem,5
aerloingseoireacht,fem,3
aerlong,fem,
aerluas,masc,
aermaíocht,fem,
aer,masc,1
aermhais,fem,2
aermharascal,masc,
aermhíle,masc,4
aeróg,fem,2
